Fed,"Unfed <1 week","Unfed >1 week"
49660.56,113694.00,119304.0
56757.64,114169.10,122448.5
53682.34,97656.34,150738.0
76273.74,101297.80,160841.8
,91901.29,131944.1
,70028.11,
,109451.60,
